Epoch,accuracy,loss,val_accuracy,val_loss
1,0.6889,0.587,0.8109,0.4313
2,0.8168,0.4142,0.8247,0.4084
3,0.8575,0.3503,0.8313,0.4131
4,0.8883,0.2955,0.8181,0.4633
5,0.9094,0.2525,0.7997,0.5268
6,0.9262,0.2075,0.8148,0.5392
