Epoch,accuracy,loss,val_accuracy,val_loss
1,0.6735,0.6102,0.8011,0.4399
2,0.8104,0.4555,0.8194,0.4164
3,0.8351,0.4082,0.8155,0.4226
4,0.8608,0.3517,0.8273,0.4229
5,0.8906,0.2924,0.8043,0.5742
6,0.9113,0.255,0.8102,0.5776
