Epoch,accuracy,loss,val_accuracy,val_loss
1,0.675,0.5785,0.8418,0.3995
2,0.8486,0.3821,0.8516,0.3862
3,0.8838,0.3079,0.847,0.4113
4,0.9084,0.2532,0.8398,0.5121
5,0.9197,0.2036,0.8372,0.605
