Epoch,accuracy,loss,val_accuracy,val_loss
1,0.7173,0.5623,0.8391,0.3933
2,0.8426,0.3746,0.845,0.3861
3,0.8725,0.3215,0.8424,0.3977
4,0.897,0.2799,0.8326,0.4247
5,0.9156,0.2361,0.8411,0.4339
